Product Name,Revenue,Demand,Initial Inventory
LARGE  TALL CAMPHOR WOOD TOADSTOOL ,5.45,58,370
LARGE ANTIQUE WHITE PHOTO FRAME,7.9,756,5150
LARGE APOTHECARY MEASURING JAR ,12.5,80,510
LARGE BLACK DIAMANTE HAIRSLIDE,1.65,6,40
LARGE BLUE PROVENCAL CERAMIC BALL,4.13,65,430
LARGE BONNE JAM JAR  T-LIGHT HOLDER,2.89,362,2530
LARGE CAKE STAND  HANGING STRAWBERY,9.95,844,5670
LARGE CAKE STAND HANGING HEARTS,9.95,313,2170
LARGE CAKE TOWEL CHOCOLATE SPOTS,1.95,1294,9260
LARGE CAKE TOWEL PINK SPOTS,13.57,1572,11040
"LARGE CAKE TOWEL, CHOCOLATE SPOTS",13.57,19,110
LARGE CAMPHOR WOOD FIELD MUSHROOM ,11.02,74,430
LARGE CERAMIC TOP STORAGE JAR,1.45,4235,30160
LARGE CHINESE STYLE SCISSOR,0.85,1767,12730
LARGE CIRCULAR MIRROR MOBILE,2.51,9261,68860
LARGE CRYSTAL DIAMANTE HAIRSLIDE,1.69,48,290
LARGE DECO JEWELLERY STAND,12.5,413,2630
LARGE HANGING IVORY & RED WOOD BIRD,0.65,1356,9640
LARGE HEART FLOWERS HOOK   ,2.46,3,20
LARGE HEART MEASURING SPOONS,1.65,2846,19780
LARGE IVORY HEART WALL ORGANISER,7.05,1145,7810
LARGE JEWELLERY STAND,12.5,15,100
LARGE MEDINA STAMPED METAL BOWL ,4.95,272,1790
LARGE MINT DIAMANTE HAIRSLIDE,1.69,50,310
LARGE PARLOUR FRAME,4.95,39,270
LARGE PARLOUR PICTURE FRAME,4.95,128,860
LARGE PINK GLASS SUNDAE DISH,5.06,1360,9810
LARGE POPCORN HOLDER ,1.45,1387,9820
LARGE PURPLE BABUSHKA NOTEBOOK  ,2.51,1710,11970
LARGE RED BABUSHKA NOTEBOOK ,2.51,1571,10960
LARGE RED RETROSPOT WINDMILL,4.21,2706,19550
LARGE ROUND CUTGLASS CANDLESTICK,13.57,2,10
LARGE ROUND WICKER PLATTER ,5.95,307,1950
LARGE SKULL WINDMILL,4.21,134,910
LARGE STRIPES CHOCOLATE GIFT BAG,1.25,750,5470
LARGE TAHITI BEACH BAG,11.87,4,20
LARGE TORTILLA DESIGN RED BOWL,3.75,121,770
LARGE WHITE HEART OF WICKER,2.95,4381,30220
LARGE WHITE HONEYCOMB PAPER BELL  ,4.21,798,5620
LARGE WHITE/PINK ROSE ART FLOWER,2.12,483,3360
LARGE YELLOW BABUSHKA NOTEBOOK ,2.51,865,5990
LARGE ZINC GLASS CANDLEHOLDER,4.13,51,340
LARGE ZINC HEART WALL ORGANISER,7.05,1422,10650
