Product Name,Revenue,Demand,Initial Inventory
Fashion accessories_10.18,10.18,12.0,80.0
Fashion accessories_12.09,12.09,2.0,10.0
Fashion accessories_12.19,12.19,10.0,80.0
Fashion accessories_12.54,12.54,2.0,10.0
Fashion accessories_12.78,12.78,2.0,10.0
Fashion accessories_14.48,14.48,5.0,40.0
Fashion accessories_15.43,15.43,2.0,10.0
Fashion accessories_15.5,15.5,2.0,10.0
Fashion accessories_15.62,15.62,11.0,80.0
Fashion accessories_16.28,16.28,2.0,10.0
Fashion accessories_16.45,16.45,6.0,40.0
Fashion accessories_17.48,17.48,9.0,60.0
Fashion accessories_17.49,17.49,14.0,100.0
Fashion accessories_17.87,17.87,6.0,40.0
Fashion accessories_17.94,17.94,8.0,50.0
Fashion accessories_18.08,18.08,6.0,40.0
Fashion accessories_19.66,19.66,14.0,100.0
Fashion accessories_19.7,19.7,2.0,10.0
Fashion accessories_19.77,19.77,14.0,100.0
Fashion accessories_20.01,20.01,11.0,90.0
Fashion accessories_21.32,21.32,2.0,10.0
Fashion accessories_21.48,21.48,3.0,20.0
Fashion accessories_21.94,21.94,8.0,50.0
Fashion accessories_22.32,22.32,10.0,80.0
Fashion accessories_22.51,22.51,10.0,70.0
Fashion accessories_23.82,23.82,7.0,50.0
Fashion accessories_25.42,25.42,11.0,80.0
Fashion accessories_25.56,25.56,11.0,70.0
Fashion accessories_27.02,27.02,5.0,30.0
Fashion accessories_27.18,27.18,3.0,20.0
Fashion accessories_27.38,27.38,8.0,60.0
Fashion accessories_29.42,29.42,13.0,100.0
Fashion accessories_29.56,29.56,7.0,50.0
Fashion accessories_30.14,30.14,14.0,100.0
Fashion accessories_30.37,30.37,4.0,30.0
Fashion accessories_30.61,30.61,2.0,10.0
Fashion accessories_30.62,30.62,2.0,10.0
Fashion accessories_31.73,31.73,14.0,90.0
Fashion accessories_31.9,31.9,2.0,10.0
Fashion accessories_32.62,32.62,6.0,40.0
Fashion accessories_33.52,33.52,2.0,10.0
Fashion accessories_33.63,33.63,2.0,10.0
Fashion accessories_34.7,34.7,3.0,20.0
Fashion accessories_35.19,35.19,14.0,100.0
Fashion accessories_36.51,36.51,12.0,90.0
Fashion accessories_36.85,36.85,7.0,50.0
Fashion accessories_37.15,37.15,6.0,40.0
Fashion accessories_37.55,37.55,13.0,100.0
Fashion accessories_37.95,37.95,14.0,100.0
