Product Name,Revenue,Demand,Initial Inventory
FAUX FUR JEWEL SWEATER,35.9,3025,20970
FAUX LEATHER BOMBER JACKET,69.9,9585,71970
FAUX LEATHER BOXY FIT JACKET,99.9,4486,32730
FAUX LEATHER JACKET,99.9,10322,71130
FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,159.0,4868,34910
FAUX LEATHER PUFFER JACKET,69.99,8482,64010
FAUX SHEARLING LINED SUEDE BOOTS,99.9,2607,20760
FAUX SHEARLING PLAID JACKET,89.9,1784,12490
FAUX SUEDE BOMBER JACKET,69.9,6626,50300
FAUX SUEDE JACKET,89.9,3256,24570
FAUX SUEDE OVERSHIRT,69.9,2955,24430
FAUX SUEDE PATCH JACKET,89.9,910,7070
