Product Name,Revenue,Demand,Initial Inventory
Men's Apparel_16.0,1.6,156,1140
Men's Apparel_18.0,1.8,149,1110
Men's Apparel_19.0,1.9,214,1760
Men's Apparel_20.0,20,780,5930
Men's Apparel_21.0,2.1,129,910
Men's Apparel_22.0,2.2,406,3050
Men's Apparel_23.0,2.3,855,6240
Men's Apparel_24.0,2.4,636,4540
Men's Apparel_25.0,25,2292,16820
Men's Apparel_26.0,2.6,1095,8090
Men's Apparel_27.0,2.7,591,4400
Men's Apparel_28.0,2.8,1576,11520
Men's Apparel_29.0,2.9,1549,11500
Men's Apparel_30.0,30,4935,36670
Men's Apparel_31.0,3.1,363,2770
Men's Apparel_32.0,3.2,1906,14090
Men's Apparel_33.0,3.3,1915,14280
Men's Apparel_34.0,3.4,2140,15780
Men's Apparel_35.0,35,13729,101360
Men's Apparel_36.0,3.6,2457,18440
Men's Apparel_37.0,3.7,2429,18570
Men's Apparel_38.0,3.8,3436,25610
Men's Apparel_39.0,3.9,3354,24560
Men's Apparel_40.0,40,19179,144840
Men's Apparel_41.0,4.1,5294,38950
Men's Apparel_42.0,4.2,4487,33110
Men's Apparel_43.0,4.3,6551,48070
Men's Apparel_44.0,4.4,3875,28990
Men's Apparel_45.0,4.5,36736,275090
Men's Apparel_46.0,4.6,3984,29080
Men's Apparel_47.0,4.7,6087,44070
Men's Apparel_48.0,4.8,3385,25120
Men's Apparel_49.0,4.9,3532,26070
Men's Apparel_50.0,5,47925,358350
Men's Apparel_51.0,5.1,4502,32990
Men's Apparel_52.0,5.2,2854,21390
Men's Apparel_53.0,5.3,3206,23250
Men's Apparel_54.0,5.4,3737,28230
Men's Apparel_55.0,5.5,50883,375700
Men's Apparel_56.0,5.6,2492,18360
Men's Apparel_57.0,5.7,1116,8120
Men's Apparel_58.0,5.8,3109,22650
Men's Apparel_59.0,5.9,4505,33110
Men's Apparel_60.0,6,42176,311500
Men's Apparel_61.0,6.1,1173,8100
Men's Apparel_62.0,6.2,2551,18260
Men's Apparel_63.0,6.3,1349,9890
Men's Apparel_64.0,6.4,3380,25060
Men's Apparel_65.0,6.5,41243,305340
Men's Apparel_66.0,6.6,781,5630
Men's Apparel_67.0,6.7,909,6760
Men's Apparel_68.0,6.8,1756,13340
Men's Apparel_69.0,6.9,1105,8420
Men's Apparel_70.0,7,14739,111530
Men's Apparel_71.0,7.1,1024,7700
Men's Apparel_72.0,7.2,1023,7500
Men's Apparel_73.0,7.3,411,3320
Men's Apparel_74.0,7.4,680,5080
Men's Apparel_75.0,75,11435,84000
Men's Apparel_76.0,7.6,183,1380
Men's Apparel_77.0,7.7,400,2680
Men's Apparel_80.0,8,3324,24740
Men's Apparel_81.0,8.1,148,1040
Men's Apparel_82.0,8.2,475,3690
Men's Apparel_83.0,8.3,255,2010
Men's Apparel_84.0,8.4,387,2840
Men's Apparel_85.0,8.5,4956,35020
Men's Apparel_86.0,8.6,578,4440
Men's Apparel_89.0,8.9,448,3210
Men's Apparel_90.0,90,5182,38500
Men's Apparel_92.0,9.2,164,1170
Men's Apparel_95.0,95,2891,22000
Men's Apparel_nan,60,1726,13500
Men's Athletic Footwear_11.0,1.1,290,2120
Men's Athletic Footwear_14.0,1.4,1466,10630
Men's Athletic Footwear_15.0,15,1524,11810
Men's Athletic Footwear_16.0,1.6,675,5250
Men's Athletic Footwear_17.0,1.7,858,6380
Men's Athletic Footwear_18.0,1.8,874,6360
Men's Athletic Footwear_19.0,1.9,1718,13070
Men's Athletic Footwear_20.0,20,9515,71580
Men's Athletic Footwear_21.0,2.1,883,6480
