Product Name,Revenue,Demand,Initial Inventory
Blazzer 3XL 1033.0,1033,8,20
Blazzer 3XL 1042.86,1042.86,0,0
Blazzer 3XL 1044.0,1044,8,20
Blazzer 3XL 1091.0,1091,36,90
Blazzer 3XL 1099.0,1099,12,30
Blazzer 3XL 1136.0,1136,2,5
Blazzer 3XL 1168.0,1168,72,180
Blazzer 3XL 1187.0,1187,16,40
Blazzer 3XL 1196.0,1196,8,20
Blazzer 3XL 1228.0,1228,3,10
Blazzer 3XL 1249.0,1249,4,10
Blazzer 3XL 1294.0,1294,2,5
Blazzer 3XL 1377.0,1377,2,5
Blazzer 3XL 1399.0,1399,4,10
Blazzer 3XL 1450.0,1450,3,10
Blazzer 3XL 1470.0,1470,3,10
Blazzer 3XL 1499.0,1499,2,5
Blazzer 3XL 1598.0,1598,3,10
Blazzer 3XL 1798.0,1798,3,10
Blazzer 3XL 377.0,377,6,15
Blazzer 3XL 399.0,399,6,15
Blazzer 3XL 413.0,413,16,40
Blazzer 3XL 421.0,421,2,5
Blazzer 3XL 421.9,421.9,0,0
Blazzer 3XL 434.0,434,2,5
Blazzer 3XL 436.0,436,2,5
Blazzer 3XL 443.0,443,24,60
Blazzer 3XL 450.48,450.48,0,0
Blazzer 3XL 452.38,452.38,0,0
Blazzer 3XL 461.0,461,2,5
Blazzer 3XL 473.0,473,8,20
Blazzer 3XL 475.0,475,8,20
Blazzer 3XL 496.0,496,14,35
Blazzer 3XL 523.0,523,2,5
Blazzer 3XL 539.0,539,4,10
Blazzer 3XL 539.05,539.05,0,0
Blazzer 3XL 560.0,560,0,0
Blazzer 3XL 562.0,562,2,5
Blazzer 3XL 563.0,563,4,10
Blazzer 3XL 564.0,564,8,20
Blazzer 3XL 566.0,566,26,65
Blazzer 3XL 570.48,570.48,0,0
Blazzer 3XL 581.0,581,18,45
Blazzer 3XL 584.76,584.76,0,0
Blazzer 3XL 588.0,588,44,110
Blazzer 3XL 595.24,595.24,0,0
Blazzer 3XL 596.0,596,6,15
Blazzer 3XL 599.0,599,50,125
Blazzer 3XL 614.0,614,54,135
Blazzer 3XL 625.0,625,84,210
Blazzer 3XL 627.62,627.62,0,0
Blazzer 3XL 633.33,633.33,0,0
Blazzer 3XL 635.0,635,26,65
Blazzer 3XL 638.0,638,2,5
Blazzer 3XL 641.0,641,10,25
Blazzer 3XL 644.76,644.76,0,0
Blazzer 3XL 645.71,645.71,0,0
Blazzer 3XL 648.0,648,4,10
Blazzer 3XL 658.0,658,6,15
Blazzer 3XL 659.0,659,6,15
Blazzer 3XL 661.0,661,34,85
Blazzer 3XL 665.0,665,84,210
Blazzer 3XL 665.71,665.71,0,0
Blazzer 3XL 668.0,668,10,25
Blazzer 3XL 677.0,677,4,10
Blazzer 3XL 680.95,680.95,0,0
Blazzer 3XL 686.67,686.67,0,0
Blazzer 3XL 688.0,688,10,25
Blazzer 3XL 689.52,689.52,0,0
Blazzer 3XL 690.0,690,126,315
Blazzer 3XL 690.48,690.48,0,0
Blazzer 3XL 696.0,696,4,10
Blazzer 3XL 698.0,698,2,5
Blazzer 3XL 699.0,699,20,50
Blazzer 3XL 700.0,700,0,0
Blazzer 3XL 704.0,704,2,5
Blazzer 3XL 708.57,708.57,0,0
Blazzer 3XL 714.0,714,2,5
Blazzer 3XL 715.0,715,26,65
Blazzer 3XL 721.0,721,128,320
Blazzer 3XL 724.0,724,22,55
Blazzer 3XL 725.0,725,220,550
Blazzer 3XL 727.0,727,2,5
Blazzer 3XL 734.28,734.28,0,0
Blazzer 3XL 734.29,734.29,0,0
Blazzer 3XL 735.0,735,432,1080
Blazzer 3XL 736.0,736,2,5
Blazzer 3XL 743.0,743,24,60
Blazzer 3XL 744.0,744,218,545
Blazzer 3XL 749.0,749,6,15
Blazzer 3XL 758.0,758,4,10
Blazzer 3XL 761.0,761,10,25
Blazzer 3XL 771.0,771,436,1090
Blazzer 3XL 776.0,776,12,30
Blazzer 3XL 785.71,785.71,0,0
Blazzer 3XL 786.0,786,18,45
Blazzer 3XL 791.0,791,122,305
Blazzer 3XL 792.0,792,10,25
Blazzer 3XL 799.0,799,6,15
Blazzer 3XL 807.0,807,8,20
Blazzer 3XL 818.1,818.1,0,0
Blazzer 3XL 825.0,825,104,260
Blazzer 3XL 827.62,827.62,0,0
Blazzer 3XL 828.0,828,12,30
Blazzer 3XL 832.0,832,16,40
Blazzer 3XL 833.0,833,10,25
Blazzer 3XL 836.0,836,6,15
Blazzer 3XL 842.0,842,36,90
Blazzer 3XL 842.86,842.86,0,0
Blazzer 3XL 845.0,845,6,15
Blazzer 3XL 856.19,856.19,0,0
Blazzer 3XL 859.0,859,120,300
Blazzer 3XL 864.0,864,2,5
Blazzer 3XL 869.0,869,14,35
Blazzer 3XL 879.0,879,4,10
Blazzer 3XL 885.0,885,292,730
Blazzer 3XL 899.0,899,118,295
Blazzer 3XL 902.86,902.86,0,0
Blazzer 3XL 908.0,908,2,5
Blazzer 3XL 925.0,925,4,10
Blazzer 3XL 939.0,939,12,30
Blazzer 3XL 940.0,940,4,10
Blazzer 3XL 948.0,948,4,10
Blazzer 3XL 951.43,951.43,0,0
Blazzer 3XL 956.0,956,8,20
Blazzer 3XL 989.0,989,4,10
Blazzer 3XL 998.0,998,8,20
Blazzer 3XL 999.0,999,58,145
Blazzer 3XL nan,,2,5
Blazzer L 1025.0,1025,0,0
Blazzer L 1033.0,1033,20,50
Blazzer L 1039.05,1039.05,0,0
Blazzer L 1044.0,1044,28,70
Blazzer L 1059.82,1059.82,0,0
Blazzer L 1091.0,1091,70,175
Blazzer L 1099.0,1099,4,10
Blazzer L 1112.38,1112.38,0,0
Blazzer L 1125.0,1125,12,30
Blazzer L 1136.0,1136,4,10
Blazzer L 1168.0,1168,28,70
Blazzer L 1187.0,1187,12,30
Blazzer L 1196.0,1196,10,25
Blazzer L 1229.0,1229,6,15
Blazzer L 1249.0,1249,14,35
Blazzer L 1294.0,1294,30,75
Blazzer L 1470.0,1470,6,20
Blazzer L 1486.0,1486,3,10
Blazzer L 1650.0,1650,3,10
Blazzer L 2066.0,2066,3,10
Blazzer L 2259.99,2259.99,0,0
Blazzer L 377.0,377,8,20
Blazzer L 399.0,399,6,15
Blazzer L 413.0,413,40,100
Blazzer L 413.33,413.33,0,0
Blazzer L 420.0,420,2,5
Blazzer L 421.9,421.9,0,0
Blazzer L 434.0,434,4,10
Blazzer L 443.0,443,34,85
Blazzer L 453.0,453,2,5
Blazzer L 461.0,461,16,40
Blazzer L 473.0,473,2,5
Blazzer L 475.0,475,12,30
Blazzer L 488.0,488,6,15
Blazzer L 489.0,489,2,5
Blazzer L 496.0,496,8,20
Blazzer L 504.76,504.76,0,0
Blazzer L 563.0,563,8,20
Blazzer L 564.0,564,4,10
Blazzer L 570.48,570.48,0,0
Blazzer L 579.0,579,2,5
Blazzer L 581.0,581,20,50
Blazzer L 588.0,588,32,80
Blazzer L 596.0,596,4,10
Blazzer L 599.0,599,42,105
Blazzer L 605.0,605,2,5
Blazzer L 614.0,614,36,90
Blazzer L 625.0,625,86,215
Blazzer L 633.33,633.33,0,0
Blazzer L 641.0,641,6,15
Blazzer L 645.71,645.71,0,0
Blazzer L 648.0,648,2,5
Blazzer L 649.0,649,34,85
Blazzer L 657.0,657,2,5
Blazzer L 657.14,657.14,0,0
Blazzer L 658.0,658,14,35
Blazzer L 661.0,661,22,55
Blazzer L 665.0,665,88,220
Blazzer L 667.0,667,6,15
Blazzer L 668.0,668,4,10
Blazzer L 678.0,678,2,5
Blazzer L 680.95,680.95,0,0
Blazzer L 680.96,680.96,0,0
Blazzer L 686.67,686.67,0,0
Blazzer L 688.0,688,14,35
Blazzer L 689.52,689.52,0,0
Blazzer L 690.0,690,186,465
Blazzer L 690.48,690.48,0,0
Blazzer L 699.0,699,44,110
Blazzer L 700.0,700,0,0
Blazzer L 704.0,704,8,20
Blazzer L 707.0,707,2,5
Blazzer L 707.62,707.62,0,0
Blazzer L 708.57,708.57,0,0
Blazzer L 715.0,715,48,120
Blazzer L 719.0,719,4,10
Blazzer L 721.0,721,84,210
Blazzer L 724.0,724,48,120
Blazzer L 724.76,724.76,0,0
Blazzer L 725.0,725,250,625
Blazzer L 734.29,734.29,0,0
Blazzer L 735.0,735,994,2485
Blazzer L 736.0,736,4,10
Blazzer L 741.0,741,38,95
Blazzer L 743.0,743,64,160
Blazzer L 744.0,744,418,1045
Blazzer L 749.0,749,6,15
Blazzer L 753.33,753.33,0,0
Blazzer L 760.95,760.95,0,0
Blazzer L 761.0,761,20,50
Blazzer L 768.57,768.57,0,0
Blazzer L 771.0,771,686,1715
Blazzer L 774.0,774,2,5
Blazzer L 776.0,776,12,30
Blazzer L 785.71,785.71,0,0
Blazzer L 786.0,786,24,60
Blazzer L 791.0,791,168,420
Blazzer L 792.0,792,12,30
Blazzer L 793.0,793,2,5
Blazzer L 799.0,799,4,10
Blazzer L 807.0,807,134,335
Blazzer L 817.0,817,10,25
Blazzer L 818.1,818.1,0,0
Blazzer L 825.0,825,124,310
Blazzer L 832.0,832,16,40
Blazzer L 833.0,833,4,10
Blazzer L 837.14,837.14,0,0
Blazzer L 842.0,842,10,25
Blazzer L 842.86,842.86,0,0
Blazzer L 845.0,845,4,10
Blazzer L 856.19,856.19,0,0
Blazzer L 856.2,856.2,0,0
Blazzer L 859.0,859,86,215
Blazzer L 864.0,864,4,10
Blazzer L 869.0,869,4,10
Blazzer L 879.0,879,2,5
Blazzer L 885.0,885,256,640
Blazzer L 894.29,894.29,0,0
Blazzer L 899.0,899,188,470
Blazzer L 925.0,925,2,5
Blazzer L 930.0,930,6,15
Blazzer L 939.0,939,2,5
Blazzer L 940.0,940,26,65
Blazzer L 941.9,941.9,0,0
Blazzer L 948.0,948,10,25
Blazzer L 949.0,949,2,5
Blazzer L 956.0,956,14,35
Blazzer L 968.0,968,6,15
Blazzer L 989.0,989,72,180
Blazzer L 998.0,998,10,25
Blazzer L 999.0,999,22,55
Blazzer L nan,,2,5
Blazzer M 1033.0,1033,40,100
Blazzer M 1044.0,1044,12,30
Blazzer M 1059.82,1059.82,0,0
Blazzer M 1091.0,1091,60,150
Blazzer M 1099.0,1099,6,15
Blazzer M 1112.38,1112.38,0,0
Blazzer M 1125.0,1125,8,20
Blazzer M 1148.0,1148,2,5
Blazzer M 1168.0,1168,34,85
Blazzer M 1176.0,1176,3,10
Blazzer M 1187.0,1187,2,5
Blazzer M 1196.0,1196,2,5
Blazzer M 1229.0,1229,4,10
Blazzer M 1249.0,1249,2,5
Blazzer M 1294.0,1294,16,40
Blazzer M 1377.0,1377,6,15
Blazzer M 1430.0,1430,3,10
Blazzer M 1450.0,1450,3,10
Blazzer M 1470.0,1470,3,10
Blazzer M 1488.0,1488,3,10
Blazzer M 2175.0,2175,9,30
Blazzer M 2232.0,2232,5,15
Blazzer M 377.0,377,2,5
Blazzer M 380.0,380,0,0
Blazzer M 393.33,393.33,0,0
Blazzer M 399.0,399,6,15
Blazzer M 413.0,413,24,60
Blazzer M 434.0,434,6,15
Blazzer M 437.0,437,2,5
Blazzer M 443.0,443,4,10
Blazzer M 450.0,450,4,10
Blazzer M 453.0,453,2,5
Blazzer M 458.0,458,2,5
Blazzer M 461.0,461,2,5
Blazzer M 472.38,472.38,0,0
Blazzer M 473.0,473,4,10
Blazzer M 475.0,475,10,25
Blazzer M 488.0,488,2,5
Blazzer M 496.0,496,12,30
Blazzer M 499.0,499,2,5
Blazzer M 519.0,519,2,5
Blazzer M 563.0,563,10,25
Blazzer M 564.0,564,10,25
Blazzer M 566.0,566,4,10
Blazzer M 567.62,567.62,0,0
Blazzer M 581.0,581,8,20
Blazzer M 588.0,588,8,20
Blazzer M 595.24,595.24,0,0
Blazzer M 596.0,596,2,5
Blazzer M 599.0,599,32,80
Blazzer M 613.0,613,2,5
Blazzer M 614.0,614,30,75
Blazzer M 625.0,625,146,365
Blazzer M 626.67,626.67,0,0
Blazzer M 633.33,633.33,0,0
Blazzer M 641.0,641,6,15
Blazzer M 649.0,649,2,5
Blazzer M 657.14,657.14,0,0
Blazzer M 658.0,658,16,40
Blazzer M 659.0,659,14,35
Blazzer M 661.0,661,12,30
Blazzer M 665.0,665,22,55
Blazzer M 668.0,668,4,10
Blazzer M 677.0,677,2,5
Blazzer M 678.0,678,20,50
Blazzer M 680.95,680.95,0,0
Blazzer M 686.66,686.66,0,0
Blazzer M 686.67,686.67,0,0
Blazzer M 688.0,688,10,25
Blazzer M 689.52,689.52,0,0
Blazzer M 690.0,690,126,315
Blazzer M 690.48,690.48,0,0
Blazzer M 699.0,699,38,95
Blazzer M 700.0,700,0,0
Blazzer M 707.62,707.62,0,0
Blazzer M 708.57,708.57,0,0
Blazzer M 715.0,715,54,135
Blazzer M 719.0,719,2,5
Blazzer M 721.0,721,128,320
Blazzer M 724.0,724,68,170
Blazzer M 724.76,724.76,0,0
Blazzer M 725.0,725,148,370
Blazzer M 727.0,727,2,5
Blazzer M 734.28,734.28,0,0
Blazzer M 734.29,734.29,0,0
Blazzer M 735.0,735,780,1950
Blazzer M 736.0,736,2,5
Blazzer M 741.0,741,40,100
Blazzer M 743.0,743,42,105
Blazzer M 744.0,744,436,1090
Blazzer M 745.0,745,2,5
Blazzer M 753.33,753.33,0,0
Blazzer M 758.0,758,4,10
Blazzer M 761.0,761,26,65
Blazzer M 768.57,768.57,0,0
Blazzer M 771.0,771,810,2025
Blazzer M 776.0,776,2,5
Blazzer M 778.1,778.1,0,0
Blazzer M 785.71,785.71,0,0
Blazzer M 786.0,786,28,70
Blazzer M 791.0,791,96,240
Blazzer M 792.0,792,12,30
Blazzer M 792.38,792.38,0,0
Blazzer M 799.0,799,52,130
Blazzer M 804.76,804.76,0,0
Blazzer M 807.0,807,114,285
Blazzer M 817.0,817,2,5
Blazzer M 824.0,824,2,5
Blazzer M 825.0,825,126,315
Blazzer M 832.0,832,8,20
Blazzer M 833.0,833,4,10
Blazzer M 836.0,836,2,5
Blazzer M 842.0,842,32,80
Blazzer M 842.86,842.86,0,0
Blazzer M 845.0,845,2,5
Blazzer M 855.0,855,2,5
Blazzer M 859.0,859,122,305
Blazzer M 869.0,869,10,25
Blazzer M 879.0,879,4,10
Blazzer M 885.0,885,312,780
Blazzer M 899.0,899,56,140
Blazzer M 902.86,902.86,0,0
Blazzer M 908.0,908,46,115
Blazzer M 930.0,930,2,5
Blazzer M 940.0,940,8,20
Blazzer M 948.0,948,48,120
Blazzer M 956.0,956,4,10
Blazzer M 968.0,968,2,5
Blazzer M 989.0,989,34,85
Blazzer M 994.29,994.29,0,0
