Product Name,Revenue,Demand,Initial Inventory
Books_15.15,15.15,1970,9850
Books_30.3,30.3,3024,20160
Books_45.45,45.45,4536,30000
Books_60.6,60.6,5601,38360
Books_75.75,75.75,7567,51450
Clothing_1200.32,1200.32,39904,273960
Clothing_1500.4,1500.4,50929,347000
Clothing_300.08,300.08,13682,68410
Clothing_600.16,600.16,20850,139000
Clothing_900.24,900.24,31474,207210
Cosmetics_121.98,121.98,13980,92160
Cosmetics_162.64,162.64,17531,120400
Cosmetics_203.3,203.3,22373,152750
Cosmetics_40.66,40.66,5972,29860
Cosmetics_81.32,81.32,8922,59480
Food & Beverage_10.46,10.46,8727,58180
Food & Beverage_15.69,15.69,13616,89760
Food & Beverage_20.92,20.92,16819,115360
Food & Beverage_26.15,26.15,21915,149450
Food & Beverage_5.23,5.23,6004,30020
Shoes_1200.34,1200.34,6135,40900
Shoes_1800.51,1800.51,9158,60300
Shoes_2400.68,2400.68,11762,80880
Shoes_3000.85,3000.85,14746,100650
Shoes_600.17,600.17,3888,19440
Souvenir_11.73,11.73,2048,10240
Souvenir_23.46,23.46,2952,19680
Souvenir_35.19,35.19,4941,32310
Souvenir_46.92,46.92,5382,36880
Souvenir_58.65,58.65,7275,49600
Technology_1050.0,1050.0,1970,9850
Technology_2100.0,2100.0,3000,20000
Technology_3150.0,3150.0,4604,30270
Technology_4200.0,4200.0,5842,40040
Technology_5250.0,5250.0,7317,50050
Toys_107.52,107.52,9507,62460
Toys_143.36,143.36,12079,83040
Toys_179.2,179.2,14454,98550
Toys_35.84,35.84,4000,20000
Toys_71.68,71.68,5874,39160
