Product Name,Revenue,Demand,Initial Inventory
Accessories 108.0,108.0,5.0,15.0
Accessories 114.0,114.0,4.0,15.0
Accessories 115.0,115.0,7.0,20.0
Accessories 116.0,116.0,2.0,5.0
Accessories 122.0,122.0,19.0,60.0
Accessories 125.0,125.0,5.0,15.0
Accessories 126.0,126.0,5.0,15.0
Accessories 1301.0,1301.0,7.0,25.0
Accessories 136.0,136.0,4.0,15.0
Accessories 139.0,139.0,4.0,15.0
Accessories 143.0,143.0,3.0,10.0
Accessories 154.0,154.0,5.0,20.0
Accessories 1547.0,1547.0,9.0,30.0
Accessories 163.0,163.0,3.0,10.0
Accessories 166.0,166.0,8.0,30.0
Accessories 168.0,168.0,5.0,15.0
Accessories 169.0,169.0,5.0,15.0
Accessories 170.0,170.0,3.0,10.0
Accessories 1716.0,1716.0,10.0,35.0
Accessories 174.0,174.0,4.0,15.0
Accessories 176.0,176.0,8.0,30.0
Accessories 187.0,187.0,6.0,20.0
Accessories 193.0,193.0,8.0,25.0
Accessories 20.0,20.0,2.0,5.0
Accessories 207.0,207.0,3.0,10.0
Accessories 21.0,21.0,2.0,5.0
Accessories 214.0,214.0,5.0,15.0
Accessories 220.0,220.0,3.0,10.0
Accessories 221.0,221.0,6.0,20.0
Accessories 226.0,226.0,5.0,15.0
Accessories 227.0,227.0,11.0,40.0
Accessories 229.0,229.0,10.0,40.0
Accessories 28.0,28.0,2.0,5.0
Accessories 294.0,294.0,9.0,35.0
Accessories 307.0,307.0,5.0,15.0
Accessories 319.0,319.0,8.0,30.0
Accessories 324.0,324.0,11.0,40.0
Accessories 40.0,40.0,2.0,5.0
Accessories 42.0,42.0,2.0,5.0
Accessories 425.0,425.0,7.0,25.0
Accessories 45.0,45.0,2.0,5.0
Accessories 455.0,455.0,11.0,40.0
Accessories 490.0,490.0,3.0,10.0
Accessories 492.0,492.0,3.0,10.0
Accessories 508.0,508.0,3.0,10.0
Accessories 513.0,513.0,3.0,10.0
Accessories 59.0,59.0,2.0,5.0
Accessories 61.0,61.0,9.0,30.0
Accessories 620.0,620.0,8.0,30.0
Accessories 633.0,633.0,14.0,55.0
Accessories 65.0,65.0,4.0,15.0
Accessories 68.0,68.0,13.0,40.0
Accessories 688.0,688.0,9.0,30.0
Accessories 71.0,71.0,7.0,25.0
Accessories 74.0,74.0,3.0,10.0
Accessories 770.0,770.0,5.0,15.0
Accessories 774.0,774.0,9.0,30.0
Accessories 802.0,802.0,11.0,35.0
Accessories 811.0,811.0,10.0,35.0
Accessories 82.0,82.0,5.0,15.0
Accessories 84.0,84.0,3.0,10.0
Accessories 88.0,88.0,5.0,15.0
Accessories 93.0,93.0,8.0,25.0
Accessories 976.0,976.0,6.0,20.0
Bookcases 1052.0,1052.0,5.0,15.0
Bookcases 1061.0,1061.0,12.0,40.0
Bookcases 1101.0,1101.0,5.0,15.0
Bookcases 1117.0,1117.0,13.0,50.0
Bookcases 1157.0,1157.0,13.0,45.0
Bookcases 1218.0,1218.0,21.0,85.0
Bookcases 1246.0,1246.0,5.0,15.0
Bookcases 1275.0,1275.0,10.0,35.0
Bookcases 1308.0,1308.0,4.0,15.0
Bookcases 1314.0,1314.0,5.0,15.0
Bookcases 1361.0,1361.0,11.0,45.0
Bookcases 143.0,143.0,2.0,5.0
Bookcases 148.0,148.0,3.0,10.0
Bookcases 168.0,168.0,3.0,10.0
Bookcases 171.0,171.0,3.0,10.0
Bookcases 182.0,182.0,4.0,15.0
Bookcases 1854.0,1854.0,7.0,25.0
Bookcases 197.0,197.0,2.0,5.0
Bookcases 200.0,200.0,6.0,20.0
Bookcases 204.0,204.0,5.0,15.0
Bookcases 2061.0,2061.0,7.0,25.0
Bookcases 213.0,213.0,4.0,15.0
Bookcases 2188.0,2188.0,7.0,25.0
Bookcases 223.0,223.0,3.0,10.0
Bookcases 2292.0,2292.0,10.0,35.0
Bookcases 244.0,244.0,3.0,10.0
Bookcases 245.0,245.0,6.0,20.0
Bookcases 2452.0,2452.0,10.0,35.0
Bookcases 246.0,246.0,6.0,20.0
Bookcases 257.0,257.0,3.0,10.0
Bookcases 268.0,268.0,3.0,10.0
Bookcases 2830.0,2830.0,16.0,65.0
Bookcases 284.0,284.0,3.0,10.0
Bookcases 2927.0,2927.0,11.0,40.0
Bookcases 298.0,298.0,3.0,10.0
Bookcases 299.0,299.0,3.0,10.0
Bookcases 311.0,311.0,3.0,10.0
Bookcases 313.0,313.0,7.0,25.0
Bookcases 330.0,330.0,2.0,5.0
Bookcases 336.0,336.0,4.0,15.0
Bookcases 359.0,359.0,7.0,25.0
Bookcases 362.0,362.0,2.0,5.0
Bookcases 366.0,366.0,5.0,15.0
Bookcases 371.0,371.0,2.0,5.0
Bookcases 375.0,375.0,4.0,15.0
