Product Name,Revenue,Demand,Initial Inventory
Smith Group_chance,1261.17,5,30
Smith Group_manager,1484.79,36,260
Smith Ltd_floor,254.4,25,170
Smith PLC_community,399.41,73,520
Smith PLC_war,873.85,99,710
Smith and Sons_wrong,174.42,13,90
"Smith, Bean and Gallagher_enjoy",146.89,82,670
"Smith, Davis and Gutierrez_explain",913.01,85,640
"Smith, Greene and Miller_weight",948.49,58,440
"Smith, Miller and Cooper_child",903.7,113,890
"Smith, Ramirez and Campbell_real",1389.02,3,20
"Smith, Savage and Oneal_ahead",386.86,31,210
"Smith, Shelton and Anderson_very",1004.17,85,590
"Smith, Short and Butler_concern",299.33,121,900
"Smith, Terry and Obrien_teach",811.59,74,590
"Smith, Thompson and Vance_cultural",1227.05,65,510
Smith-Barr_explain,767.55,99,700
Smith-Barrett_man,140.8,38,280
Smith-Ramirez_star,1250.06,28,230
Smith-Rice_open,1429.03,52,390
Smith-Rodriguez_goal,331.35,45,350
Smith-Scott_factor,747.06,138,960
Smith-Stevens_large,121.62,12,90
Smith-Stokes_prevent,420.81,99,750
Smith-Tucker_artist,1294.76,130,990
Smith-Walters_can,312.97,75,580
Smith-Williams_report,958.9,87,630
