Product Name,Revenue,Demand,Initial Inventory
Acura_CL,900.0,7.0,80.0
Acura_CL,,3.0,30.0
Acura_CL,1400.0,2.0,70.0
Acura_CL,,4.0,80.0
Acura_CL,,10.0,100.0
Acura_CL,325.0,8.0,40.0
Acura_CL,4800.0,4.0,50.0
Acura_CL,1300.0,3.0,50.0
Acura_CL,1700.0,4.0,70.0
Acura_CL,450.0,7.0,80.0
Acura_CL,2500.0,10.0,70.0
Acura_CL,2600.0,3.0,40.0
Acura_CL,425.0,8.0,10.0
Acura_CL,1650.0,4.0,50.0
Acura_CL,900.0,7.0,90.0
Acura_CL,3500.0,3.0,10.0
Acura_CL,2200.0,10.0,90.0
Acura_CL,3200.0,9.0,50.0
Acura_CL,2000.0,2.0,70.0
Acura_CL,2200.0,7.0,50.0
Acura_CL,3400.0,2.0,100.0
Acura_CL,3000.0,4.0,30.0
Acura_CL,400.0,9.0,80.0
