ship-state,计数项:ship-state
ANDAMAN & NICOBAR ,257
ANDHRA PRADESH,5430
APO,1
AR,1
ARUNACHAL PRADESH,146
ASSAM,1663
BIHAR,2114
CHANDIGARH,333
CHHATTISGARH,909
DADRA AND NAGAR,70
DELHI,6967
Goa,1137
Gujarat,4489
HARYANA,4415
HIMACHAL PRADESH,788
JAMMU & KASHMIR,702
JHARKHAND,1456
KARNATAKA,17326
KERALA,6585
LADAKH,43
LAKSHADWEEP,4
MADHYA PRADESH,2529
MAHARASHTRA,22260
MANIPUR,316
MEGHALAYA,207
MIZORAM,76
NAGALAND,185
New Delhi,81
NL,2
ODISHA,2136
orissa,3
PB,1
Pondicherry,1
PUDUCHERRY,350
PUNJAB,1917
Punjab/Mohali/Zirakpur,1
RAJASTHAN,2711
Rajshthan,3
rajsthan,2
RJ,2
SIKKIM,205
TAMIL NADU,11483
TELANGANA,11330
TRIPURA,151
UTTAR PRADESH,10638
UTTARAKHAND,1553
WEST BENGAL,5963
(空白),
总计,128942
