region,demand
ANDAMAN & NICOBAR ,257
ANDHRA PRADESH,5430
ARUNACHAL PRADESH,146
ASSAM,1663
BIHAR,2114
CHANDIGARH,333
CHHATTISGARH,909
DADRA AND NAGAR,70
DELHI,6967
Goa,1137
Gujarat,4489
HARYANA,4415
HIMACHAL PRADESH,788
JAMMU & KASHMIR,702
JHARKHAND,1456
KARNATAKA,17326
KERALA,6585
LADAKH,43
MADHYA PRADESH,2529
MAHARASHTRA,22260
MANIPUR,316
MEGHALAYA,207
MIZORAM,76
NAGALAND,185
New Delhi,81
ODISHA,2136
PUDUCHERRY,350
PUNJAB,1917
RAJASTHAN,2711
SIKKIM,205
TAMIL NADU,11483
TELANGANA,11330
TRIPURA,151
UTTAR PRADESH,10638
UTTARAKHAND,1553
WEST BENGAL,5963
