,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74
S1,134.72882437877243,72.30045141110347,37.9759927355347,611.84656497826,1650.3353902326157,32.97044486689555,34.99837373425947,73.25207370031997,165.752089835103,82.52035827662691,1538.830198350349,2320.1146477101956,134.50120331043237,73.07105134164019,1177.5278796683288,1260.8332192060168,112.4176611734216,31.160026551141396,66.01316426421756,82.52790559194452,85.88051500770777,1471.941849715164,1613.365815903472,110.48175613013953,1464.1190843205604,13.112582124620388,130.23723367692185,1386.3836389229787,1306.607965584838,1532.5604567091136,1476.9383562573666,7.895876903752259,1485.1735525797155,1441.8450902504899,111.65355917362541,98.16035427886169,6.202648115247375,1732.778460579741,1484.883281940013,1331.2209584382642,1255.6429931424598,56.07444517210258,0.044924389571385545,1522.18353799087,0.03726824122289717,0.08280397665955032,1704.9088013676846,71.23198984569204,1009.3274531025471,1261.9547691785751,1808.4072122522696,1009.3086463161101,93.27726776180685,1506.1789274278144,1261.6471484652495,1988.0051628991516,73.62431889985695,1529.6895128640024,72.02476366273655,1988.4831966293134,1254.5801556566025,1249.29136864559,130.3976917485036,772.288032932629,2194.3480649634557,78.8146956579549,1101.4811736583242,52.4017793738856,110.47887925454395,1033.6561352718616,82.01227484089272,1009.3111381644628,6.2031608036961225,110.5217483961375
S2,23.835369186583733,1128.6332865368709,187.05459590556023,1.6077337129635412,2227.7036991312493,72.44693148708649,12.60074797346823,1078.7729548111274,383.7220569377865,82.8115250443967,1702.1724763823142,1925.8446970545492,500.561838016733,1864.5547045438918,591.8242052625149,41.50516984786717,1852.145981758149,224.44646856503985,58.14860850217838,1739.445830253138,1642.005250748989,55.49963684147724,64.2057912509457,1925.8966133346846,741.7741914526308,347.7954571234517,529.3970468762242,1221.0506686390204,1624.6922944596972,88.78889081046549,1691.184523792606,383.79037971660125,82.81840154335481,56.84301352764351,25.210802891781697,1716.8918140495339,453.81579061461906,1490.6912019408965,82.80313976232834,61.68330824646162,866.6183316246013,591.8607644673626,524.9416094576786,82.93709290844394,612.267727222724,525.1189237076226,2201.795251838251,1181.486058138007,507.31096855803133,55.540336535912566,1270.9056629216618,28.18233894361444,102.65008306369788,1341.7669953632808,1165.6647026467915,2567.73181020384,1279.5030669939702,1801.9186739048118,1324.6605888501624,2201.07048511811,865.0516868639642,859.2564358866096,453.8047076904558,66.4453680357712,108.71310839599727,1345.2897145298064,1028.9090194256264,57.14423644703998,106.98794253748272,71.89705904500326,80.50937916602847,591.8447655419624,25.21084285954061,2245.984795877343
S3,1138.498759622659,231.8983422482863,44.1568226726957,962.5481640749796,980.1306032437444,1107.5157506568996,741.7073424442746,136.70204401709762,1182.5161115443857,664.1846792537777,36.70238978444623,1405.0506919253128,1328.569949794526,105.53939145022157,700.110767564987,996.7558355624756,782.4864502818102,927.8130173696903,205.48538782048456,31.648095436651843,446.20277141756725,37.24911803348615,10.69120983901652,1204.2823533907242,47.67507581546129,1198.748046932865,1481.3825718643418,205.26891549756235,946.837606232057,105.58700538704197,608.582468372397,65.72883346546443,664.4943741131085,104.31347386512583,1481.4407713836586,878.6308410316733,1481.4638600828023,31.637733709320912,31.63219083798333,152.46057262536968,47.799828631920676,700.0894077802526,1448.1322946387377,30.769611132217115,1448.0731353046488,1242.6426180362635,1310.7266326125791,2.708603790728452,33.334982432750365,38.10822221634087,324.736132968506,33.33756685140103,50.09062102386685,13.349377046108476,43.71054635509408,72.87386278632647,22.11636862479624,715.9657572144681,213.28023526472973,72.86061390959114,1001.770094578552,9.840746395558867,70.55133798169594,1259.6303605517678,1006.5405395862907,226.27173078432287,29.60498231376772,533.7999090822938,1405.197350703537,1220.3821892591864,521.492981497506,33.335247681778306,1481.4453092822516,1404.5152956381503
S4,1043.7562803117191,24.207016063238527,1120.9890438994094,1027.5437638768522,893.4457577903337,1244.2626779205734,980.0297707948428,513.5650272201696,977.6321548115833,642.5520451224766,437.9556823253786,76.12498668603241,49.71842803015729,94.23176670894216,54.46447321601314,1343.1930723114408,61.9086129583569,984.988539836985,402.48113538185913,30.609001367971825,708.9301253917209,28.849745991100136,29.684072923629767,76.12056242301944,1569.3391732759749,980.6792682243822,57.35210269366615,19.177177820117436,22.122364504686427,94.1156900254599,535.1064065220851,54.350624565498,642.4115507373547,24.794659384510023,1032.3829826614478,986.4228678461815,1032.3915620016928,30.593310051081065,642.0532474309557,27.737800804125555,1572.1686146474522,1143.753058736687,1101.0672581647866,582.1713373082853,52.43384998493044,945.2648822117184,1246.5998908950085,29.74589751416874,54.46126792993982,28.822261771898383,799.1457729081586,980.3402500148468,857.6343875939317,402.2543622670748,519.0687967005913,1247.037876946711,447.68978241641094,33.42378505106996,492.7026634024445,1454.9458567017025,1569.7891089173957,22.883520161646707,57.362843003440304,548.6792094268674,1251.6320791629787,592.9795546784668,0.008802096303579745,0.05568165245282588,76.13386374623565,29.549469000785454,623.4683820946972,980.2979221940565,57.35486456222302,1370.3201888514495
S5,4.939930661779214,1278.1815735383598,549.7570743190075,21.335474111511868,98.32689279702352,452.0903462786745,595.5981933612871,70.84029746549007,0.001236242263106387,1783.0865677438942,1619.6154655942953,116.08497905117572,4.927038911492381,77.2056843211228,48.759410269456765,1119.0529081450015,1941.1711611309547,441.8177506624601,64.9189167972828,1528.567739455571,86.0424260582017,67.1346908708901,1346.6913039116405,116.08731954379769,1113.2218947480344,157.88449187245078,89.56878583088645,1168.5913423744148,1213.5271194732577,1619.8250466641475,1761.2238524118848,0.7801182387570338,1782.9526286670136,1396.4004528839976,89.61506296969053,101.28467591986458,4.979825061074666,1528.2843918057054,84.88540468793563,71.91162285918132,1299.5952450842526,1023.98366499208,166.6585480243905,86.54246892761445,166.4918875876959,142.83236199343236,102.38167796602251,68.20611762568343,1023.974077026348,1208.8656587914709,1756.0625391004921,1023.9483517274608,99.09028583076076,70.94920982300835,1409.8675021588904,102.32897906012923,74.57150042107958,87.72255489442198,1489.3716994938707,102.35171772849682,1298.324313807493,56.894707257443116,89.7090124972525,49.6647018040052,2337.827058046907,76.20605408238055,1140.5153495625138,1139.610797162214,116.07838425093742,1173.6743617521884,83.8299914863354,877.6759054581911,104.55466209212898,2438.3661154993692
S6,2105.5398596409113,1340.9770559580859,2077.2747284488696,2202.2515396165613,20.5336958780729,2514.0983598337716,2393.213466538681,1197.765543404598,102.32440248566687,788.4640306393768,818.9532260267922,17.249645794282493,2105.485387219297,702.9698065215903,1751.1504860604825,1490.7651865392015,670.9747844562178,115.92169177981056,68.45490580790451,788.1185308888784,1014.6290271241395,1490.185340555026,62.26190746817054,17.2471912927976,1745.149926222414,105.31794707253219,2061.3345167814114,1232.2468272497244,48.839704647133644,602.546401175341,46.07365314910191,102.31663071710966,788.3421002178992,1254.4919013668332,98.15716689929953,558.8526568033221,2061.2749564705146,919.778430610046,788.6175471121902,1361.060230329504,1743.7885548191962,2042.9724132314714,94.6239740059515,916.8266989627098,1987.264555521746,1702.9293151087645,1.4957115353078412,70.18030800688159,97.28452932674878,1276.5799266342049,55.69284877087686,97.28598449242534,503.2470739923259,1316.52143315286,70.9532726956641,0.24727239752883376,999.6406927799578,856.9109960258813,63.490100100788595,0.6270889718650727,1496.1133975397315,78.84549708063513,2061.274113709603,1235.3843880784814,313.60191537364597,1308.9161719657488,1247.3962897933272,1247.6868079510523,17.25209235100826,53.56257612812809,968.039406028447,1751.1373284837516,1766.827905625392,17.29088221356717
S7,61.36183063260923,113.23716964851326,50.231076475261865,1219.1951077346878,869.868986439361,58.3717723017115,957.3213131437595,168.9964798230943,1363.342713601386,519.3858364273143,483.3345987058458,1412.7652882009972,61.37823078036809,101.59361751939772,43.04723900839741,1235.3085643280772,46.7860978015451,1001.9755799027319,0.012517122689427389,445.54262666049317,449.97398509026345,212.3778327572194,11.357046577909935,1210.8776688396629,59.02637254527629,56.193159759351424,1246.3420460456273,0.0102681372983608,33.862185146132376,1828.152529231658,22.389064691869063,1364.1290642769122,24.741159981908833,122.59818509708661,69.24403703695305,695.9193268087276,1454.1431871736697,445.2910615306308,519.258996730717,186.68096430947662,59.15254394849326,43.04649907316399,66.01145886700785,24.81354884538718,1188.1946849767976,66.09518548889505,68.39658574522991,227.41965700473523,774.7849076052071,181.37930954748276,433.18487767156955,903.9687042125663,44.523209600058536,109.99449298822685,10.099008272241381,1437.3257360630575,13.281311934003252,498.2040132635415,6.033461570745725,1231.8533798324524,59.05411220278646,10.64284346008056,1246.531345211986,881.9279326708488,957.657431458134,14.268708786445382,19.173043776020307,19.22807010486234,1412.9389082325033,46.78556990833882,402.59453469956134,774.7867203832078,1246.3971027743946,67.2598526214876
S8,1169.3640988900754,1037.2170744709088,732.3577706907058,865.2255769415611,1510.0296187049466,780.853789775776,860.7971696230202,935.9126432821531,61.82504909829045,72.78392607232098,1479.1137195486635,65.87463475119084,1364.2527228876568,1417.7786355323942,22.280547765439007,0.4048871019829685,1081.0343428307344,790.0037118805124,1063.2929494222856,1528.769566089749,1134.240314438817,886.7748461790006,1131.9633646181276,1383.4211483994131,0.038264223985285804,1085.5046481397758,1356.7541581797348,59.06003327452314,1668.7154491886772,78.8994208490961,1480.4710180852842,1112.7521510272877,72.80501601174869,1122.9979972408137,1356.7638168524486,1465.7792780422612,1356.7839519749093,1528.758321695239,1528.9132084795376,1130.1494571630396,0.11457716440778105,401.0375283892772,1255.363947774952,70.55202195971117,1464.4244609364796,1255.2326715045228,1744.6774508446365,879.5330422733718,467.93758589227764,49.30910825742469,1088.1367931582563,401.0668148098764,1682.6411278437217,1083.2510591313828,1034.8856670773037,1496.1076940556757,1226.8840509683937,1322.7032514570803,1229.7677567181374,1495.722172565546,0.11996351485923565,52.068081085178605,64.60541533261896,1844.6181508958712,1539.090308973217,917.4968383303152,1569.733965729797,1570.4591080057862,65.87194719310541,2185.624531847592,1480.8449456147528,401.1003061979807,1162.939471231561,1382.508138967942
S9,7.936521667214095,1357.5387610434743,628.3001825422914,25.245141819018265,1760.0085249934855,604.6583535734275,696.677483277236,1586.4093183806565,89.68006942976479,1580.7262556456867,1423.5615412405277,2000.5637996766272,166.32109277680635,72.27323457267991,1115.7183049212676,1169.6002122222783,2367.5415258049925,29.383811216534202,1454.0453635384215,87.8274829140312,1620.490617281566,1510.6801925070654,1668.2280254399573,2334.0353532710437,1357.3738145139928,242.5124460029358,0.006081560408895419,69.2438223043042,1435.0626885857066,1299.5969869910252,87.08083120527228,4.953900478841763,87.80925645845959,71.1257150724641,0.004948640088277404,103.88134866991308,0.07332228186887908,1844.0575390401873,87.79260090001722,1377.5805226616394,1163.933419015178,1115.7546663256223,131.04951829766648,89.68841984009687,130.91514889949946,129.9134061141328,1767.8656323836706,1314.42402761714,956.3564888619655,71.96019506697198,88.38823246491009,1115.7205507991248,2088.9757497990913,75.19190300012099,71.9384988124211,1766.8611365251074,78.15190386566464,90.4454472313245,1580.7245632331346,2061.8090886264213,1163.043335939435,61.59456675310783,0.22619542698986897,49.06244541984472,110.38823929239321,1457.4302199603276,57.35001622915639,1031.4600991538357,2333.8602601468892,1163.1275818847344,1827.8760729801577,1115.7306128302762,0.0901378518270348,2001.0961742713255
S10,1685.3409758586952,437.39384912973503,1568.8939936485654,1486.9268967582923,498.37544466423503,1493.3860214089566,70.17952878640685,526.999992252258,1527.6606596831157,2.676413573774264,202.72671236450077,45.95308313010429,1685.6694161964972,1386.4799904378258,1353.5674088781213,1301.0354461281026,705.3084384811452,72.14192215855483,442.9155565437672,3.0234110302697754,9.641929575773672,617.7190293781001,385.5655337931538,45.948822967375875,1306.9787252388733,1386.2685199924233,1580.3681162854477,516.8212250290886,24.46458366225114,77.00443608393859,2.521190801950474,84.90786905719244,3.0082750697748764,563.7348474235382,87.80063558413258,345.0709434338409,87.80102688980007,0.16095211759241607,2.921918464614981,415.08759411981447,1308.5106230593062,1353.542305113933,1484.786958099816,45.074471270235065,82.49132823163934,82.56779404189298,789.4636200292503,523.0281337040544,1353.4929927264232,616.7103789584112,20.85835545363224,1353.54705230265,359.17760166060907,344.81438775812745,29.40288603813804,790.2849029021456,210.04146440976365,57.06659822229633,364.42136889410716,921.8576963661812,1525.510366406238,738.755855921309,1843.9855163192638,976.6321866488024,29.974157400299557,419.83251039563214,30.56654480535008,550.9859938673776,827.3153403563055,739.4212528303563,2.5249615210628304,1160.1436581006824,1580.4159717378764,964.9843619393849
